Name;Duration;r_shoulder_y;r_shoulder_x;r_arm_z;r_elbow_y;r_wrist_z;r_wrist_x;head_z;head_y;l_hip_x;l_hip_z;l_hip_y;l_knee_y;l_ankle_y;l_shoulder_y;l_shoulder_x;l_arm_z;l_elbow_y;l_wrist_z;l_wrist_x;bust_y;bust_x;r_hip_x;r_hip_z;r_hip_y;r_knee_y;r_ankle_y;abs_x;abs_y;abs_z
assis base;5.0;S-31.16;S97.63;S-5.76;S-19.03;S73.17;S30.06;S8.36;S8.3;S14.81;S-4.97;S5.32;S123.82;S67.3;S-30.55;S-95.78;S-21.32;S-19.21;S-74.05;S-60.85;S14.73;S6.55;S-6.02;S9.36;S4.97;S123.21;S64.31;S-0.22;S44.0;S0.13
toto;1;S-25.89;S95.25;S13.32;S-58.24;S77.57;S-13.34;S0.15;S0.38;S15.16;S-4.53;S6.02;S124.26;S67.38;S-30.73;S-95.43;S-21.41;S-19.38;S-74.05;S-48.53;S15.43;S6.2;S-5.58;S8.84;S5.41;S123.38;S64.57;S-0.57;S44.35;S0.13
toto;1;S-23.6;S87.08;S13.85;S-92.62;S81.96;S-36.51;S0.15;S0.38;S15.43;S-4.53;S6.55;S124.26;S67.3;S-30.81;S-94.9;S-21.49;S-19.38;S-74.05;S-48.83;S15.96;S6.02;S-5.23;S8.66;S5.85;S123.38;S64.57;S-0.84;S44.35;S-0.13
pose mains;1;S-23.34;S79.08;S1.19;S-82.24;S91.35;S32.99;S0.15;S0.38;S16.22;S-4.88;S7.6;S124.26;S67.3;S-5.76;S-84.97;S-14.29;S-74.33;S-73.46;S-4.84;S17.01;S6.9;S-4.79;S7.96;S6.81;S123.38;S64.57;S-1.45;S44.0;S-0.31
toto;1;S-22.11;S79.78;S1.8;S-80.92;S91.94;S32.99;S1.03;S-8.71;S3.3;S1.19;S-16.04;S110.9;S65.54;S-5.58;S-85.49;S-14.81;S-73.54;S-72.87;S-4.55;S9.19;S8.31;S-17.8;S-3.65;S-11.47;S107.56;S64.04;S-4.35;S17.98;S-0.57
k dessus;1;S-66.24;S79.96;S24.04;S-15.34;S57.92;S60.85;S20.97;S22.38;S20.44;S12.7;S-72.57;S93.58;S64.75;S-66.07;S-96.31;S2.68;S-10.07;S-74.93;S-76.1;S-2.86;S1.45;S16.92;S-2.68;S-68.0;S86.73;S63.52;S14.55;S-5.23;S1.1
